AsofDate,client,strategy,ticker,descr,symbol,name,valueDate,monthCode,yearCode,bbrgType,tradeType,pstn,pnlDly,pnlMtd,pnlYtd,intraDay,notional,comments,price,updatedBy,lastUpdated,tickerUnderlying,priceUnderlying,ttype,putCall,openClose,optionStrike,optionDelta,canceled,canceled_by,canceled_time,tradeDate,id,EntityID
07/05/2025,GCFUND,FUTURES,KCZ5,(null),KC,(null),(null),Z,2025,(null),Futures,26,-41925,(null),(null),N,3618712.5,(null),371.15,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880850,(null)
07/05/2025,GCFUND,FUTURES,KWZ5,(null),KW,(null),(null),Z,2025,(null),Futures,38,-13775,(null),(null),N,1076825,(null),566.75,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880851,(null)
07/05/2025,GCFUND,FUTURES,LAX5,(null),LA,(null),19/11/2025,X,2025,(null),LME,85,-92968.75,(null),(null),N,5113281.25,(null),2406.25,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880852,(null)
07/05/2025,GCFUND,FUTURES,LCV5,(null),LC,(null),(null),V,2025,(null),Futures,28,-7840,(null),(null),N,2309160,(null),206.175,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880853,(null)
07/05/2025,GCFUND,FUTURES,LHV5,(null),LH,(null),(null),V,2025,(null),Futures,39,-1950,(null),(null),N,1307670,(null),83.825,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880854,(null)
07/05/2025,GCFUND,FUTURES,LLX5,(null),LL,(null),19/11/2025,X,2025,(null),LME,11,9578.25,(null),(null),N,545509.25,(null),1983.67,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880855,(null)
07/05/2025,GCFUND,FUTURES,LNX5,(null),LN,(null),19/11/2025,X,2025,(null),LME,19,-17278.98,(null),(null),N,1799982.48,(null),15789.32,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880856,(null)
07/05/2025,GCFUND,FUTURES,LXX5,(null),LX,(null),19/11/2025,X,2025,(null),LME,26,-10991.5,(null),(null),N,1714316.5,(null),2637.41,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880857,(null)
07/05/2025,GCFUND,FUTURES,NGF6,(null),NG,(null),(null),F,2026,(null),Futures,-199,-85570,(null),(null),N,-10264420,(null),5.158,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880858,(null)
07/05/2025,GCFUND,FUTURES,NGM5,(null),NG,(null),(null),M,2025,(null),Futures,8,12640,(null),(null),N,289680,(null),3.621,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880859,(null)
07/05/2025,GCFUND,FUTURES,NGN5,(null),NG,(null),(null),N,2025,(null),Futures,499,648700,(null),(null),N,19695530,(null),3.947,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880860,(null)
07/05/2025,GCFUND,FUTURES,NGU5,(null),NG,(null),(null),U,2025,(null),Futures,-83,-83830,(null),(null),N,-3319170,(null),3.999,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880861,(null)
07/05/2025,GCFUND,FUTURES,NGV5,(null),NG,(null),(null),V,2025,(null),Futures,118,115640,(null),(null),N,4799060,(null),4.067,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880862,(null)
07/05/2025,GCFUND,FUTURES,QSX5,(null),QS,(null),(null),X,2025,(null),Futures,37,-41625,(null),(null),N,2143225,(null),579.25,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880863,(null)
07/05/2025,GCFUND,FUTURES,S N5,(null),S,(null),(null),N,2025,(null),Futures,47,-4700,(null),(null),N,2442237.5,(null),1039.25,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880864,(null)
07/05/2025,GCFUND,FUTURES,S X5,(null),S,(null),(null),X,2025,(null),Futures,75,10312.5,(null),(null),N,3832500,(null),1022,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880865,(null)
07/05/2025,GCFUND,FUTURES,SBV5,(null),SB,(null),(null),V,2025,(null),Futures,142,-47712,(null),(null),N,2748211.2,(null),17.28,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880866,(null)
07/05/2025,GCFUND,FUTURES,SIN5,(null),SI,(null),(null),N,2025,(null),Futures,26,-76700,(null),(null),N,4262830,(null),32.791,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880867,(null)
07/05/2025,GCFUND,FUTURES,SIZ5,(null),SI,(null),(null),Z,2025,(null),Futures,34,-97750,(null),(null),N,5698740,(null),33.522,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880868,(null)
07/05/2025,GCFUND,FUTURES,SMZ5,(null),SM,(null),(null),Z,2025,(null),Futures,64,14080,(null),(null),N,1944320,(null),303.8,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880869,(null)
07/05/2025,GCFUND,FUTURES,W Z5,(null),W,(null),(null),Z,2025,(null),Futures,62,-3100,(null),(null),N,1770875,(null),571.25,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880870,(null)
07/05/2025,GCFUND,FUTURES,XBX5,(null),XB,(null),(null),X,2025,(null),Futures,25,-29190,(null),(null),N,1820280,(null),173.36,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880871,(null)
07/05/2025,HARBOR,FUTURES,BOZ5,(null),BO,(null),(null),Z,2025,(null),Futures,123,-55350,(null),(null),N,3512880,(null),47.6,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880872,(null)
07/05/2025,HARBOR,FUTURES,C N5,(null),C,(null),(null),N,2025,(null),Futures,192,-60000,(null),(null),N,4312800,(null),449.25,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880873,(null)
07/05/2025,HARBOR,FUTURES,C Z5,(null),C,(null),(null),Z,2025,(null),Futures,186,-4650,(null),(null),N,4098975,(null),440.75,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880874,(null)
07/05/2025,HARBOR,FUTURES,CCZ5,(null),CC,(null),(null),Z,2025,(null),Futures,-2,-4620,(null),(null),N,-167640,(null),8382,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880875,(null)
07/05/2025,HARBOR,FUTURES,CLN5,(null),CL,(null),(null),N,2025,(null),Futures,395,-387100,(null),(null),N,22791500,(null),57.7,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880876,(null)
07/05/2025,HARBOR,FUTURES,CLX5,(null),CL,(null),(null),X,2025,(null),Futures,-173,171270,(null),(null),N,-9840240,(null),56.88,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880877,(null)
07/05/2025,HARBOR,FUTURES,COX5,(null),CO,(null),(null),X,2025,(null),Futures,221,-216580,(null),(null),N,13352820,(null),60.42,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880878,(null)
07/05/2025,HARBOR,FUTURES,CTZ5,(null),CT,(null),(null),Z,2025,(null),Futures,77,-10395,(null),(null),N,2666125,(null),69.25,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880879,(null)
07/05/2025,HARBOR,FUTURES,GCZ5,(null),GC,(null),(null),Z,2025,(null),Futures,88,-269280,(null),(null),N,30593200,(null),3476.5,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880880,(null)
07/05/2025,HARBOR,FUTURES,HGZ5,(null),HG,(null),(null),Z,2025,(null),Futures,69,-193200,(null),(null),N,8236875,(null),477.5,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880881,(null)
07/05/2025,HARBOR,FUTURES,HOM5,(null),HO,(null),(null),M,2025,(null),Futures,48,-64915.2,(null),(null),N,3984825.6,(null),197.66,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880882,(null)
07/05/2025,HARBOR,FUTURES,HOX5,(null),HO,(null),(null),X,2025,(null),Futures,35,-47775,(null),(null),N,2930004,(null),199.32,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880883,(null)
07/05/2025,HARBOR,FUTURES,JOX5,(null),JO,(null),(null),X,2025,(null),Futures,4,-2730,(null),(null),N,147210,(null),245.35,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880884,(null)
07/05/2025,HARBOR,FUTURES,KCZ5,(null),KC,(null),(null),Z,2025,(null),Futures,45,-72562.5,(null),(null),N,6263156.25,(null),371.15,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880885,(null)
07/05/2025,HARBOR,FUTURES,KWZ5,(null),KW,(null),(null),Z,2025,(null),Futures,59,-21387.5,(null),(null),N,1671912.5,(null),566.75,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880886,(null)
07/05/2025,HARBOR,FUTURES,LAX5,(null),LA,(null),19/11/2025,X,2025,(null),LME,142,-155312.5,(null),(null),N,8542187.5,(null),2406.25,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880887,(null)
07/05/2025,HARBOR,FUTURES,LCV5,(null),LC,(null),(null),V,2025,(null),Futures,49,-13720,(null),(null),N,4041030,(null),206.175,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880888,(null)
07/05/2025,HARBOR,FUTURES,LHV5,(null),LH,(null),(null),V,2025,(null),Futures,65,-3250,(null),(null),N,2179450,(null),83.825,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880889,(null)
07/05/2025,HARBOR,FUTURES,LLX5,(null),LL,(null),19/11/2025,X,2025,(null),LME,18,15673.5,(null),(null),N,892651.5,(null),1983.67,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880890,(null)
07/05/2025,HARBOR,FUTURES,LNX5,(null),LN,(null),19/11/2025,X,2025,(null),LME,31,-28192.02,(null),(null),N,2936813.52,(null),15789.32,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880891,(null)
07/05/2025,HARBOR,FUTURES,LXX5,(null),LX,(null),19/11/2025,X,2025,(null),LME,42,-17755.5,(null),(null),N,2769280.5,(null),2637.41,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880892,(null)
07/05/2025,HARBOR,FUTURES,NGF6,(null),NG,(null),(null),F,2026,(null),Futures,-332,-142760,(null),(null),N,-17124560,(null),5.158,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880893,(null)
07/05/2025,HARBOR,FUTURES,NGM5,(null),NG,(null),(null),M,2025,(null),Futures,12,18960,(null),(null),N,434520,(null),3.621,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880894,(null)
07/05/2025,HARBOR,FUTURES,NGN5,(null),NG,(null),(null),N,2025,(null),Futures,845,1098500,(null),(null),N,33352150,(null),3.947,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880895,(null)
